url,error
https://www.myspace.com,"HTTPConnectionPool(host='localhost', port=38507): Read timed out. (read timeout=120)"
https://www.yatv.red,"Message: unknown error: net::ERR_NAME_NOT_RESOLVED
  (Session info: chrome=131.0.6778.85)
Stacktrace:
#0 0x56b09d03131a <unknown>
#1 0x56b09cb476e0 <unknown>
#2 0x56b09cb3f8f4 <unknown>
#3 0x56b09cb2fc99 <unknown>
#4 0x56b09cb319a4 <unknown>
#5 0x56b09cb2ff4d <unknown>
#6 0x56b09cb2f7af <unknown>
#7 0x56b09cb2f6a2 <unknown>
#8 0x56b09cb2d6c6 <unknown>
#9 0x56b09cb2dd3a <unknown>
#10 0x56b09cb4a009 <unknown>
#11 0x56b09cbd9b35 <unknown>
#12 0x56b09cbba462 <unknown>
#13 0x56b09cbd8ed7 <unknown>
#14 0x56b09cbba203 <unknown>
#15 0x56b09cb88cc0 <unknown>
#16 0x56b09cb89c9e <unknown>
#17 0x56b09cffed0b <unknown>
#18 0x56b09d002c92 <unknown>
#19 0x56b09cfebb3c <unknown>
#20 0x56b09d003807 <unknown>
#21 0x56b09cfd10df <unknown>
#22 0x56b09d020578 <unknown>
#23 0x56b09d020740 <unknown>
#24 0x56b09d030196 <unknown>
#25 0x765496c9ca94 <unknown>
#26 0x765496d29c3c <unknown>
"
https://www.lazada.co.id,"HTTPConnectionPool(host='localhost', port=48019): Read timed out. (read timeout=120)"
https://www.lazada.com.ph,"HTTPConnectionPool(host='localhost', port=46999): Read timed out. (read timeout=120)"
https://www.menshealth.com,"HTTPConnectionPool(host='localhost', port=46339): Read timed out. (read timeout=120)"
